"age_group","is_female","n","prefrail","frail"
"[70,75)",0,180496,0.3264,0.169
"[65,70)",0,227635,0.2704,0.1065
"[80,100]",0,184636,0.3474,0.4126
"[55,60)",0,230446,0.1688,0.0425
"[55,60)",1,265921,0.1939,0.0524
"[70,75)",1,220401,0.3325,0.1803
"[40,45)",0,136150,0.0837,0.0108
"[65,70)",1,260781,0.2848,0.1191
"[60,65)",0,249416,0.2056,0.0609
"[80,100]",1,284795,0.3441,0.4206
"[45,50)",0,160001,0.1071,0.0179
"[50,55)",1,232279,0.168,0.0369
"[75,80)",1,174641,0.3578,0.2585
"[75,80)",0,141791,0.3588,0.2557
"[60,65)",1,284136,0.2253,0.0713
"[50,55)",0,195602,0.135,0.0273
"[45,50)",1,198062,0.1443,0.0266
"[40,45)",1,174132,0.118,0.0165
