"","category","avg","std","median","p05","p25","p75","p95"
"1","AFIB",8.60298563719121,9.6874827545579,5.52478991596639,0.928445770527376,2.88507109004739,10.9438202247191,26.0169696563863
"2","Anemia",11.592213098873,43.8664832484003,2.23736600306279,0.567158385093168,0.984501347708895,5.394936319137,27.8001153993226
"3","Anxiety",4.6521066716467,8.04919486129929,2.19589178356713,0.584915096153846,1.09684684684685,4.54668049792531,17.3469656992084
"4","Arthritis",4.59022783936074,7.36511231322705,2.64673913043478,0.591019417475728,1.23813559322034,5.4409789908475,14.9099902460985
"5","CAD",5.18890264724183,7.34182303097235,2.72574626865672,0.602722772277228,1.28157894736842,6.11596179895567,17.7324958964867
"6","CVA",4.96255078048356,12.7294707827705,1.92744063324538,0.559084922095621,0.956151832460733,3.95170015455951,17.7776548672566
"7","Cancer",7.10050344924034,15.2312459882185,2.06745283018868,0.566235240118079,0.971409574468085,5.39778325123153,33.5550393804949
"8","Chronpain",3.54493333200351,4.67183675439947,1.8209392424255,0.553409090909091,0.861438679245283,4.28739129985392,12.3978997966761
"9","Dementia",8.98039965226856,18.8520366459822,3.29054054054054,0.5844,1.1839546191248,8.88810946854753,36.0529153569361
"10","Depress",5.87592399583856,10.0180714138047,2.56856540084388,0.59390243902439,1.25515463917526,5.75808577294457,23.3678720445063
"11","Diabetes",9.36524960153036,16.1798466488287,5.3418647166362,0.767331932773109,2.65636363636364,10.5517598543675,29.5926336671075
"12","Falls",3.90376555932228,8.50444284199457,1.42120622568093,0.541111111111111,0.767331932773109,3.56589958158996,15.0680966760512
"13","Fatigue",2.65873791997198,5.16160774831614,1.19950738916256,0.538716814159292,0.743890020366599,2.50171232876712,8.89769015283497
"14","FtoThrive",5.18646050851025,9.45502610302563,1.91231676980325,0.528510391563727,0.788876889848812,4.92294061478571,21.9680666251557
"15","GaitAb",9.89804009794442,19.6123512523626,3.72704081632653,0.574292452830189,1.26713209253259,10.0789289912674,37.6994611701003
"16","HF",11.8897754396523,20.3300986523215,5.01889444318568,0.702403846153846,2.05968045112782,12.9797463209554,44.3954327795185
"17","HTN",5.4488923843382,7.24292733603018,3.55598052851182,0.871718377088305,2.09012875536481,6.18020304568528,15.851593281927
"18","Hearing",1.55669542961705,1.69723254164377,0.989837398373984,0.531775640699199,0.702403846153846,1.80000091149209,4.18802980337542
"19","Incont",2.33884932157967,3.34262456503971,1.38090737240076,0.541111111111111,0.762526096033403,2.67517344968171,7.21363051279384
"20","Kidney",5.66389547700214,32.6899916554752,1.98146473779385,0.662885662431942,1.32577132486388,3.30542986425339,12.2773109243697
"21","Liver",4.03030203226949,11.6221227295332,1.521875,0.5476011994003,0.783798283261803,3.03112033195021,14.1523437547381
"22","Lung",5.32338138553658,8.22289160123643,2.74211711711712,0.60172981878089,1.33060109289617,5.96461813400496,18.4263632292234
"23","Muscular",7.51183221362734,14.2636456809632,2.41487603305785,0.555091185410334,0.884382566585956,7.77127659574468,31.6537358458797
"24","Osteo",2.94474289946015,4.10342384881726,1.94281914893617,0.572492163009404,0.999316005471956,3.47857142857143,8.15215000726879
"25","PD",6.36310499664215,10.4788810611816,2.75868580060423,0.586276083467095,1.06798245614035,6.69605939348326,25.0074378551074
"26","PVD",5.52441737096705,9.61347776008743,3.17057291666667,0.626500857632933,1.6185376661743,5.85571142284569,16.9406035734452
"27","PerNeuro",5.81591237860862,9.16902594841635,3.52898550724638,0.647606382978723,1.76876513317191,6.53248427901567,17.464262216237
"28","Thyroid",3.40223027519481,3.66615968135116,2.5541958041958,0.678903345724907,1.57889048991354,4.04970905689144,8.83183055225938
"29","Vision",3.31403354141207,3.7118531624851,2.1612426035503,0.586841623097449,1.12039877300613,3.91059957173448,10.4357142857143
"30","WgtLoss",1.653439926125,1.88492031502542,0.981854838709677,0.521785714285714,0.685916097702041,1.91230366492147,4.52555618811248
